ticket_age_days,assigned_engineer_load,past_sla_breaches,avg_resolution_time,reopen_count,customer_escalations,weekend_flag,workload_trend_7d,resolution_delay_trend,risk_label,priority_encoded,avg_engineer_load_7d,escalations_7d,engineer_load_trend,resolution_delay_trend_7d,risk_label_lag_1,risk_score_proxy,risk_trend_7d
21,7,0,7.587945476302646,2,0,1,-0.4000250841819971,0.1592488919658671,0,1,7.0,0.0,0.0,0.1592488919658671,0.0,0.0,0.0
53,4,0,7.587945476302646,2,0,0,0.1508884729488528,-0.2435884209728997,0,1,5.5,0.0,-3.0,-0.0421697645035163,0.0,0.0,0.0
24,12,0,7.587945476302646,2,1,0,-0.4992212341589856,0.6922115592912175,0,1,7.666666666666667,1.0,8.0,0.2026240100947283,0.0,0.1,0.0
33,12,0,7.587945476302646,2,0,0,-0.4929336947802826,-0.2769375749585842,0,1,8.75,1.0,0.0,0.08273361383140018,0.0,0.0,0.0
27,10,0,7.587945476302646,2,0,0,0.4737555188414591,-0.0672286595696957,0,1,9.0,1.0,-2.0,0.05274115915118101,0.0,0.0,0.0
47,19,0,7.587945476302646,2,0,0,0.4832308858067882,0.1667628932479799,0,1,10.666666666666666,1.0,9.0,0.07174478150064749,0.0,0.3,0.0
37,19,0,7.587945476302646,2,0,1,-0.049500748030457,-0.2867350388401334,0,1,11.857142857142858,1.0,0.0,0.020533378594821645,0.0,0.3,0.0
25,14,0,7.587945476302646,2,0,1,-0.1953862308266293,-0.2023278859936161,0,1,12.857142857142858,1.0,-5.0,-0.03112044682796167,0.0,0.0,0.0
20,15,0,7.587945476302646,2,0,0,0.1099966577826209,0.5331949117361643,0,1,14.428571428571429,1.0,1.0,0.07984860070190461,0.0,0.0,0.0
35,14,0,7.587945476302646,2,0,0,-0.3177639122119376,0.4553614103176525,0,1,14.714285714285714,0.0,-1.0,0.04601286513425247,0.0,0.0,-0.1
6,22,0,7.587945476302646,2,0,0,-0.3151455444744729,0.6695846277645585,0,1,16.142857142857142,0.0,8.0,0.18123032266613,0.0,0.3,0.3
26,12,0,7.587945476302646,2,1,0,0.3948273504276488,0.2978999788110851,0,1,16.428571428571427,1.0,-10.0,0.23339155672052728,0.0,0.1,0.1
48,15,0,7.587945476302646,2,0,0,-0.3040171375808548,-0.2547727110894619,0,1,15.857142857142858,1.0,3.0,0.1731721846723213,0.0,0.0,-0.3
40,21,0,7.587945476302646,2,0,1,-0.2286509682261041,0.5287375091519293,0,1,16.142857142857142,1.0,6.0,0.2896682629569017,0.0,0.3,0.0
26,13,0,7.587945476302646,2,0,1,0.3021969807540396,-0.2254493563202291,0,1,16.0,1.0,-8.0,0.2863651957673855,0.0,0.0,0.0
7,9,0,7.587945476302646,2,0,0,-0.3012843184658276,-0.2944778828763976,0,1,15.142857142857142,1.0,-4.0,0.1681262251084481,0.0,0.0,0.0
11,19,0,7.587945476302646,2,0,0,0.2290071680409873,0.4712703466859457,0,1,15.857142857142858,1.0,10.0,0.1703989303039186,0.0,0.3,0.3
5,10,0,7.587945476302646,2,0,0,-0.3841309404748703,0.5631034258755936,0,1,14.142857142857142,1.0,-9.0,0.15518733003406646,0.0,0.0,-0.3
8,12,0,7.587945476302646,2,0,0,-0.4364416497139763,0.0109823217156622,0,1,14.142857142857142,0.0,2.0,0.11419909330614889,0.0,0.0,-0.1
24,5,0,7.587945476302646,2,0,0,0.1375574713552131,0.5872127425763265,0,1,12.714285714285714,0.0,-7.0,0.23448272954411867,0.0,0.0,0.0
1,3,0,7.587945476302646,2,0,1,0.213244787222995,0.4607850486168974,0,1,10.142857142857142,0.0,-2.0,0.22477523518197123,0.0,0.0,-0.3
26,23,0,7.587945476302646,2,0,1,-0.0062044036356092,0.222732829381994,0,1,11.571428571428571,0.0,20.0,0.2888012617108603,0.0,0.3,0.3
15,10,0,7.587945476302646,2,0,0,-0.2982807976646038,0.5957635956735194,0,1,11.714285714285714,0.0,-13.0,0.4159786157894198,0.0,0.2,0.2
49,20,0,7.587945476302646,2,0,0,0.1955160864261275,-0.1606685455941243,0,1,11.857142857142858,0.0,10.0,0.3257016311779813,0.0,0.5,0.2
39,13,0,7.587945476302646,2,0,0,-0.2969387752652306,0.642853570557981,0,1,12.285714285714286,0.0,-7.0,0.33709450898975085,0.0,0.2,0.2
7,19,0,7.587945476302646,2,0,0,0.429697652342573,0.5081203795644169,0,1,13.285714285714286,0.0,6.0,0.408114231539573,0.0,0.5,0.5
57,21,0,7.587945476302646,2,0,0,0.3036720768991144,-0.1134299411139641,0,1,15.571428571428571,0.0,2.0,0.3080224195838172,0.0,0.5,0.5
30,11,0,7.587945476302646,2,0,1,-0.3779120452993266,0.0562978380769749,0,1,16.714285714285715,0.0,-10.0,0.25023853236382826,0.0,0.0,0.0
33,1,0,7.587945476302646,2,0,1,-0.0728922113737436,0.5180147659224932,0,1,13.571428571428571,0.0,-10.0,0.29242166615532816,0.0,0.0,-0.3
41,3,0,7.587945476302646,2,0,0,0.0107473025775657,0.117411003148779,0,1,12.571428571428571,0.0,2.0,0.22408558150893665,0.0,0.0,-0.2
15,22,2,4.038536542632651,1,0,1,0.0581020020173411,0.1038361710580408,0,1,22.0,0.0,0.0,0.1038361710580408,0.0,0.3,0.0
49,20,2,4.038536542632651,1,0,0,0.1963042728397883,0.412270589924442,0,1,21.0,0.0,-2.0,0.2580533804912414,0.0,0.3,0.0
37,17,2,4.038536542632651,1,1,0,-0.233218985724715,0.6766149558326529,0,1,19.666666666666668,1.0,-3.0,0.3975739056050452,0.0,0.6,0.0
28,22,2,4.038536542632651,1,0,0,-0.154928751973317,0.3343513447013638,0,1,20.25,1.0,5.0,0.38176826537912484,0.0,0.5,0.0
2,21,2,4.038536542632651,1,0,0,0.4856504541106007,-0.0579447284884995,0,1,20.4,1.0,-1.0,0.29382566660559994,0.0,0.3,0.0
4,23,2,4.038536542632651,1,0,0,-0.2623624560076003,0.4282163486118596,0,1,20.833333333333332,1.0,2.0,0.31622411360664326,0.0,0.5,0.0
24,5,2,4.038536542632651,1,0,1,0.1335297107608947,0.2357746840747585,0,1,18.571428571428573,1.0,-18.0,0.30473133795923113,0.0,0.2,0.0
48,16,2,4.038536542632651,1,0,1,-0.1792199350282641,-0.1134814896001457,0,1,17.714285714285715,1.0,11.0,0.2736859578652045,0.0,0.3,0.0
29,3,2,4.038536542632651,1,0,0,0.1775643618422824,-0.2834121710721438,0,1,15.285714285714286,1.0,-13.0,0.17430270629426367,0.0,0.0,-0.3
3,19,2,4.038536542632651,1,0,0,-0.4038234489085792,0.640523264489604,0,1,15.571428571428571,0.0,16.0,0.16914675038811383,0.0,0.3,-0.3
40,7,2,4.038536542632651,1,1,0,-0.3624790558540067,0.0410663510502585,0,1,13.428571428571429,1.0,-12.0,0.12724889415224164,0.0,0.1,-0.4
25,18,2,4.038536542632651,1,1,0,0.377339353380981,-0.0420583722848443,0,1,13.0,2.0,11.0,0.12951837360990667,0.0,0.4,0.10000000000000003
16,16,2,4.038536542632651,1,0,0,0.0296505783560064,-0.0581477090995483,0,1,12.0,2.0,-2.0,0.060037793936848396,0.0,0.3,-0.2
48,12,2,4.038536542632651,1,0,1,0.3826363431893397,-0.1112928916586206,0,1,13.0,2.0,-4.0,0.010456711689222816,0.0,0.0,-0.2
41,3,2,4.038536542632651,1,0,1,0.3466611422383059,0.5563242918780924,0,1,11.142857142857142,2.0,-9.0,0.10614325190039968,0.0,0.0,-0.3
54,24,2,4.038536542632651,1,0,0,0.3509284487675127,0.6356349942209476,0,1,14.142857142857142,2.0,21.0,0.23743570408512701,0.0,0.3,0.3
36,6,2,4.038536542632651,1,0,0,0.0806866214364546,0.0722827665617431,0,1,12.285714285714286,2.0,-18.0,0.15625849009543263,0.0,0.0,-0.3
25,3,2,4.038536542632651,1,1,0,-0.2160790252625343,0.0053638603443934,0,1,11.714285714285714,2.0,-3.0,0.15115813428030903,0.0,0.1,0.0
2,22,2,4.038536542632651,1,0,0,0.4944574626108207,-0.1240747473226546,0,1,12.285714285714286,1.0,19.0,0.13944150927490756,0.0,0.3,-0.10000000000000003
4,1,2,4.038536542632651,1,0,0,-0.3211772907786712,0.0664687845828599,0,1,10.142857142857142,1.0,-21.0,0.15724386551525157,0.0,0.0,-0.3
8,7,2,4.038536542632651,1,0,1,-0.1919392081476107,0.2425402305548993,0,1,9.428571428571429,1.0,6.0,0.20779145440289729,0.0,0.0,0.0
59,19,2,4.038536542632651,1,0,1,-0.2495381813944158,0.2898708475605439,0,1,11.714285714285714,1.0,12.0,0.16972667664324748,0.0,0.3,0.3
38,13,2,4.038536542632651,1,0,0,0.406098787718554,0.1343943655104286,0,1,10.142857142857142,1.0,-6.0,0.09812087254174477,0.0,0.0,-0.3
21,1,2,4.038536542632651,1,0,0,-0.0074823061811361,-0.1047570122019554,0,1,9.428571428571429,1.0,-12.0,0.07282947557550212,0.0,0.0,0.0
48,19,2,4.038536542632651,1,0,0,0.268554014306309,-0.2563962282455662,0,1,11.714285714285714,0.0,18.0,0.03543517720550792,0.0,0.3,0.19999999999999998
44,14,2,4.038536542632651,1,1,0,-0.1298412997445556,-0.2845433834711325,0,1,10.571428571428571,1.0,-5.0,0.012511086327153928,0.0,0.1,-0.19999999999999998
24,17,2,4.038536542632651,1,0,0,0.0722924691708383,0.6803315837160457,0,1,12.857142857142858,1.0,3.0,0.10020577191760904,0.0,0.3,0.3
52,21,2,4.038536542632651,1,0,1,-0.2315251431098431,0.1852798742763157,0,1,14.857142857142858,1.0,4.0,0.09202572102066853,0.0,0.3,0.3
18,10,2,4.038536542632651,1,1,1,0.196029796674973,0.270061170089365,0,1,13.571428571428571,2.0,-11.0,0.08919576709621439,0.0,0.1,-0.19999999999999998
24,18,2,4.038536542632651,1,0,0,0.4900538501042633,-0.1599159847634759,0,1,14.285714285714286,2.0,8.0,0.04715143134279947,0.0,0.3,0.3
33,9,1,7.66691755978784,1,0,1,-0.1405088487802448,-0.0064081557355066,0,2,9.0,0.0,0.0,-0.0064081557355066,0.0,0.0,0.0
55,3,1,7.66691755978784,1,0,0,0.1115137108656805,-0.2184058195997596,0,2,6.0,0.0,-6.0,-0.1124069876676331,0.0,0.0,0.0
7,4,1,7.66691755978784,1,0,0,0.1499639307777651,0.4019668772577033,0,2,5.333333333333333,0.0,1.0,0.05905096730747903,0.0,0.0,0.0
16,14,1,7.66691755978784,1,0,0,-0.1620048431484642,0.075582952639944,0,2,7.5,0.0,10.0,0.06318396364059528,0.0,0.0,0.0
2,23,1,7.66691755978784,1,0,0,-0.171847332525268,-0.1449583832722558,0,2,10.6,0.0,9.0,0.02155549425802506,0.0,0.3,0.0
22,22,1,7.66691755978784,1,0,0,-0.4611652655705768,0.0032655146732228,0,2,12.5,0.0,-1.0,0.01850716432722468,0.0,0.3,0.0
43,5,1,7.66691755978784,1,0,1,0.2699935530986108,-0.0841789725031568,0,2,11.428571428571429,0.0,-17.0,0.0038377162085987565,0.0,0.0,0.0
5,7,1,7.66691755978784,1,0,1,-0.4483182788313923,0.231354631568148,0,2,11.142857142857142,0.0,2.0,0.03780382868054942,0.0,0.0,0.0
47,3,1,7.66691755978784,1,0,0,0.2260913337226615,0.6758520794625347,0,2,11.142857142857142,0.0,-4.0,0.16555495711802,0.0,0.0,0.0
42,19,1,7.66691755978784,1,0,0,-0.2291677487379257,0.1389714207056361,0,2,13.285714285714286,0.0,16.0,0.12798417761058184,0.0,0.3,0.3
55,5,1,7.66691755978784,1,0,0,-0.4191270333828023,0.1283144749401077,0,2,12.0,0.0,-14.0,0.13551725222489094,0.0,0.0,0.0
12,21,1,7.66691755978784,1,0,0,0.4152137276264804,0.1423522297311044,0,2,11.714285714285714,0.0,16.0,0.17656162551108529,0.0,0.3,0.0
32,22,1,7.66691755978784,1,0,0,0.1601973767177312,-0.0200661030540571,0,2,11.714285714285714,0.0,1.0,0.173228537264331,0.0,0.3,0.0
16,7,1,7.66691755978784,1,0,1,-0.0643271013221089,0.4300393165618185,0,2,12.0,0.0,-15.0,0.24668829284504176,0.0,0.0,0.0
3,12,1,7.66691755978784,1,0,1,-0.3413535523575089,-0.1798353521943578,0,2,12.714285714285714,0.0,5.0,0.18794686659325519,0.0,0.0,0.0
29,14,1,7.66691755978784,1,0,0,-0.4058430117314399,0.0114133093912942,0,2,14.285714285714286,0.0,2.0,0.09302704229736371,0.0,0.0,0.0
52,5,1,7.66691755978784,1,0,0,-0.4021658393489985,0.1916158751168323,0,2,12.285714285714286,0.0,-9.0,0.10054767864182032,0.0,0.0,-0.3
39,4,1,7.66691755978784,1,0,0,-0.0661483507620269,0.0985047343973734,0,2,12.142857142857142,0.0,-1.0,0.09628914427857256,0.0,0.0,0.0
10,22,1,7.66691755978784,1,0,0,-0.4546959902279555,0.0746126146264712,0,2,12.285714285714286,0.0,18.0,0.08661205640648209,0.0,0.3,0.0
58,19,1,7.66691755978784,1,0,0,0.3564898411883223,0.358693631618945,0,2,11.857142857142858,0.0,-3.0,0.14072058993119668,0.0,0.3,0.0
4,16,1,7.66691755978784,1,0,1,0.1424192782063156,-0.2734886894583782,0,2,13.142857142857142,0.0,-3.0,0.040216589071168596,0.0,0.3,0.3
32,20,1,7.66691755978784,1,0,1,-0.111830073793478,0.3432882184423532,0,2,14.285714285714286,0.0,4.0,0.11494852773355589,0.0,0.3,0.3
33,19,1,7.66691755978784,1,0,0,0.1259396701015728,0.520426843771268,0,2,15.0,0.0,-1.0,0.18766474693069504,0.0,0.3,0.3
40,10,1,7.66691755978784,1,0,0,-0.2260388726788662,-0.0854108802916258,0,2,15.714285714285714,0.0,-9.0,0.14808949615805814,0.0,0.0,0.0
46,2,1,7.66691755978784,1,0,0,0.1182538843378928,0.0365542148887265,0,2,15.428571428571429,0.0,-8.0,0.13923942194253716,0.0,0.0,0.0
26,8,1,7.66691755978784,1,0,0,0.1816136689727897,0.04062456946424,0,2,13.428571428571429,0.0,6.0,0.13438398691936126,0.0,0.0,-0.3
51,9,1,7.66691755978784,1,0,0,0.1928903586919393,0.0483366044531973,0,2,12.0,0.0,1.0,0.09004726875282587,0.0,0.0,-0.3
11,24,1,7.66691755978784,1,0,1,0.3034809303848486,-0.0179654274286935,0,2,13.142857142857142,0.0,15.0,0.1265505918999237,0.0,0.3,0.0
10,5,1,7.66691755978784,1,0,1,0.306834739267264,0.6905051420006734,0,2,11.0,0.0,-19.0,0.1761530095511123,0.0,0.0,-0.3
